Individual Components:,,,,,
,,,,,
Item,Qty,Reference(s),Value,Footprint,Datasheet
31,4,"R1, R2, R3, R19",47K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
32,1,R4,75K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
33,1,R5,100,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
34,5,"R6, R7, R8, R16, R20",1K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
35,2,"R9, R21",10K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
36,1,R10,33K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
37,1,R11,1K8,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
38,1,R12,43K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
39,1,R13,51K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
40,1,R14,7K5,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
41,1,R15,20K,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
42,1,R17,10,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
43,1,R18,1K2,Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,~
44,1,SW1,WAKE,Livrary:SW_PUSH_TS_1224W,~
45,1,SW2,RESET,Livrary:SW_Push_1P1T_Mini4x4x1.5,~
46,1,SW3,SEL,Livrary:SW_PUSH_TS_1224W,~
47,1,SW4,SWITCH,Livrary:SW_MSK_01S,~
48,1,SW5,SWITCH,Livrary:SPDT_Small,~
49,1,SW6,WAKE,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,~
50,1,SW7,SEL,Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,~
51,1,U1,DS3231M,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm,http://datasheets.maximintegrated.com/en/ds/DS3231.pdf
52,1,U2,WT32-SC01,Livrary:WS32-SC01-H,
53,1,U3,DW01x,Package_TO_SOT_SMD:TSOT-23-6,
54,1,U4,TP4056,Livrary:SOP-8_EP,
55,1,U5,FP6298,Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,
56,1,U6,FS8205,Package_SO:TSSOP-8_4.4x3mm_P0.65mm,
57,1,U7,MCP4725-DAC7571,Package_TO_SOT_SMD:SOT-23-6,http://ww1.microchip.com/downloads/en/DeviceDoc/22039d.pdf
58,1,U8,LM386,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/lm386.pdf
59,1,U9,TX,Livrary:TX50,
60,1,U10,DS1307Z+,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://datasheets.maximintegrated.com/en/ds/DS1307.pdf
61,1,Y1,Crystal,Crystal:Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal_1EP_style2,~
